index,items
4030,"['hygiene articles', 'rolls/buns']"
4031,"['bottled beer', 'whole milk']"
4032,"['softener', 'salty snack']"
4033,"['beef', 'whole milk']"
4034,"['bottled water', 'roll products ', 'butter', 'coffee', 'rum']"
4035,"['chicken', 'citrus fruit', 'butter', 'rolls/buns', 'soft cheese', 'specialty bar']"
4036,"['male cosmetics', 'hard cheese']"
4037,"['soda', 'shopping bags', 'cream cheese ']"
4038,"['tropical fruit', 'pork', 'newspapers']"
4039,"['tropical fruit', 'soda']"
4040,"['soda', 'whole milk', 'shopping bags']"
4041,"['curd', 'whole milk', 'pet care']"
4042,"['sliced cheese', 'beverages', 'other vegetables', 'napkins']"
4043,"['turkey', 'domestic eggs']"
4044,"['tropical fruit', 'whole milk']"
4045,"['canned beer', 'specialty vegetables', 'long life bakery product']"
4046,"['hamburger meat', 'seasonal products']"
4047,"['hamburger meat', 'whole milk']"
4048,"['tropical fruit', 'citrus fruit', 'frankfurter', 'spices', 'butter milk', 'UHT-milk']"
4049,"['frankfurter', 'other vegetables']"
4050,"['fruit/vegetable juice', 'butter', 'rolls/buns']"
4051,"['UHT-milk', 'pastry', 'bottled water']"
4052,"['brown bread', 'domestic eggs']"
4053,"['tropical fruit', 'grapes', 'ice cream', 'sweet spreads']"
4054,"['sausage', 'other vegetables']"
4055,"['brown bread', 'coffee']"
4056,"['brandy', 'whole milk', 'whole milk', 'bottled water']"
4057,"['beverages', 'cat food']"
4058,"['root vegetables', 'root vegetables']"
4059,"['soda', 'domestic eggs']"
4060,"['pip fruit', 'domestic eggs']"
4061,"['soda', 'candy']"
4062,"['beef', 'pip fruit']"
4063,"['napkins', 'frozen vegetables']"
4064,"['bottled water', 'root vegetables']"
4065,"['root vegetables', 'butter']"
4066,"['frankfurter', 'chicken', 'meat', 'bottled beer', 'other vegetables', 'pastry', 'misc. beverages', 'root vegetables', 'salt']"
4067,"['sparkling wine', 'liquor', 'detergent']"
4068,"['soda', 'whole milk']"
4069,"['tropical fruit', 'whole milk', 'brown bread', 'pastry']"
4070,"['seasonal products', 'pickled vegetables']"
4071,"['other vegetables', 'citrus fruit']"
4072,"['whole milk', 'dog food']"
4073,"['yogurt', 'pastry']"
4074,"['root vegetables', 'newspapers', 'dishes']"
4075,"['pastry', 'margarine']"
4076,"['bottled beer', 'pasta']"
4077,"['whole milk', 'cream cheese ']"
4078,"['grapes', 'curd']"
4079,"['canned beer', 'grapes', 'UHT-milk', 'brown bread']"
4080,"['soda', 'other vegetables']"
4081,"['canned beer', 'hard cheese']"
4082,"['ice cream', 'candy', 'canned beer']"
4083,"['photo/film', 'vinegar']"
4084,"['pet care', 'brown bread', 'pastry', 'dish cleaner']"
4085,"['citrus fruit', 'onions']"
4086,"['salty snack', 'salty snack', 'canned fish']"
4087,"['sausage', 'pip fruit', 'tropical fruit', 'pasta', 'rolls/buns', 'beverages', 'brown bread']"
4088,"['newspapers', 'root vegetables', 'margarine']"
4089,"['salty snack', 'bottled water']"
4090,"['sausage', 'rum']"
4091,"['napkins', 'canned vegetables']"
4092,"['whole milk', 'other vegetables']"
4093,"['tropical fruit', 'oil']"
4094,"['frozen potato products', 'whole milk', 'pastry', 'rolls/buns', 'candy', 'bottled beer']"
4095,"['whipped/sour cream', 'waffles']"
4096,"['whipped/sour cream', 'specialty bar']"
4097,"['whole milk', 'whole milk']"
4098,"['other vegetables', 'shopping bags']"
4099,"['bottled water', 'coffee']"
4100,"['pip fruit', 'frozen meals', 'whole milk', 'rolls/buns']"
4101,"['beverages', 'other vegetables']"
4102,"['sausage', 'soda']"
4103,"['chicken', 'yogurt', 'newspapers', 'shopping bags', 'rolls/buns', 'domestic eggs']"
4104,"['white wine', 'newspapers', 'dog food']"
4105,"['rolls/buns', 'processed cheese']"
4106,"['tropical fruit', 'rolls/buns', 'fruit/vegetable juice', 'canned beer']"
4107,"['pastry', 'misc. beverages', 'flour']"
4108,"['frankfurter', 'ice cream', 'specialty cheese', 'coffee']"
4109,"['condensed milk', 'yogurt']"
4110,"['frankfurter', 'citrus fruit', 'whole milk']"
4111,"['dishes', 'tropical fruit']"
4112,"['chocolate', 'butter']"
4113,"['dessert', 'other vegetables']"
4114,"['UHT-milk', 'citrus fruit']"
4115,"['root vegetables', 'domestic eggs', 'chocolate']"
4116,"['citrus fruit', 'onions']"
4117,"['sausage', 'frozen vegetables', 'onions', 'canned beer']"
4118,"['root vegetables', 'pet care']"
4119,"['rolls/buns', 'soda', 'other vegetables', 'vinegar']"
4120,"['rolls/buns', 'root vegetables']"
4121,"['butter', 'yogurt']"
4122,"['fruit/vegetable juice', 'beef']"
4123,"['frozen meals', 'dessert']"
4124,"['pastry', 'domestic eggs', 'bottled water']"
4125,"['yogurt', 'cream cheese ']"
4126,"['whole milk', 'berries']"
4127,"['berries', 'candy']"
4128,"['curd', 'rolls/buns']"
4129,"['bottled water', 'tropical fruit', 'shopping bags']"
4130,"['other vegetables', 'whole milk']"
4131,"['bottled water', 'other vegetables']"
4132,"['pastry', 'fruit/vegetable juice']"
4133,"['frankfurter', 'cream cheese ', 'yogurt', 'baking powder']"
4134,"['whole milk', 'cream cheese ']"
4135,"['coffee', 'frankfurter', 'frankfurter', 'bottled beer', 'butter', 'margarine', 'sugar', 'brown bread', 'soda']"
4136,"['whole milk', 'coffee']"
4137,"['other vegetables', 'salty snack']"
4138,"['frankfurter', 'bottled water']"
4139,"['rolls/buns', 'canned beer']"
4140,"['pip fruit', 'newspapers']"
4141,"['tropical fruit', 'tropical fruit', 'mayonnaise']"
4142,"['tropical fruit', 'yogurt']"
4143,"['beverages', 'whipped/sour cream']"
4144,"['oil', 'whipped/sour cream']"
4145,"['bottled beer', 'bottled water']"
4146,"['yogurt', 'male cosmetics', 'sugar', 'salt']"
4147,"['sausage', 'tropical fruit']"
4148,"['coffee', 'domestic eggs']"
4149,"['whole milk', 'newspapers']"
4150,"['frankfurter', 'tropical fruit', 'frozen meals', 'soda']"
4151,"['tropical fruit', 'red/blush wine']"
4152,"['shopping bags', 'domestic eggs']"
4153,"['cream cheese ', 'candles']"
4154,"['other vegetables', 'bottled beer']"
4155,"['soda', 'sliced cheese']"
4156,"['whole milk', 'popcorn']"
4157,"['bottled water', 'sausage', 'whole milk', 'margarine']"
4158,"['UHT-milk', 'pork']"
4159,"['yogurt', 'hard cheese']"
4160,"['whole milk', 'whole milk']"
4161,"['dessert', 'bottled water']"
4162,"['frankfurter', 'soups']"
4163,"['hamburger meat', 'soda', 'cling film/bags']"
4164,"['canned beer', 'whipped/sour cream']"
4165,"['berries', 'rolls/buns']"
4166,"['fruit/vegetable juice', 'other vegetables']"
4167,"['canned beer', 'yogurt']"
4168,"['pasta', 'brown bread', 'beef', 'long life bakery product', 'citrus fruit', 'whipped/sour cream', 'specialty cheese', 'frozen vegetables']"
4169,"['frankfurter', 'pastry', 'salt']"
4170,"['frozen meals', 'bottled water']"
4171,"['butter milk', 'frozen vegetables']"
4172,"['fish', 'pot plants', 'coffee']"
4173,"['onions', 'cat food']"
4174,"['herbs', 'packaged fruit/vegetables']"
4175,"['other vegetables', 'meat', 'soda', 'whipped/sour cream']"
4176,"['yogurt', 'yogurt']"
4177,"['bottled beer', 'whole milk']"
4178,"['pork', 'pip fruit']"
4179,"['soda', 'napkins']"
4180,"['beef', 'whole milk']"
4181,"['root vegetables', 'red/blush wine']"
4182,"['butter', 'potato products']"
4183,"['chocolate', 'bottled water']"
4184,"['soda', 'flower (seeds)']"
4185,"['hamburger meat', 'pet care', 'pastry']"
4186,"['berries', 'soda', 'oil']"
4187,"['frozen dessert', 'tropical fruit']"
4188,"['rolls/buns', 'domestic eggs']"
4189,"['cream cheese ', 'long life bakery product', 'pastry']"
4190,"['yogurt', 'chewing gum', 'soda', 'oil']"
4191,"['whipped/sour cream', 'frozen meals']"
4192,"['other vegetables', 'brandy']"
4193,"['pork', 'pickled vegetables']"
4194,"['pastry', 'margarine']"
4195,"['pip fruit', 'margarine', 'specialty cheese']"
4196,"['citrus fruit', 'bottled beer', 'ice cream']"
4197,"['whole milk', 'fruit/vegetable juice']"
4198,"['chicken', 'brown bread', 'soda']"
4199,"['sausage', 'soda']"
4200,"['whole milk', 'chocolate marshmallow']"
4201,"['ham', 'citrus fruit']"
4202,"['rolls/buns', 'frozen meals']"
4203,"['bottled beer', 'sausage', 'candy', 'yogurt']"
4204,"['berries', 'coffee']"
4205,"['tropical fruit', 'condensed milk']"
4206,"['other vegetables', 'pork']"
4207,"['whole milk', 'pip fruit', 'pip fruit', 'fruit/vegetable juice']"
4208,"['oil', 'bottled water']"
4209,"['yogurt', 'other vegetables']"
4210,"['sparkling wine', 'bottled water']"
4211,"['beef', 'yogurt']"
4212,"['citrus fruit', 'soda']"
4213,"['grapes', 'rolls/buns']"
4214,"['sausage', 'other vegetables']"
4215,"['chicken', 'pastry']"
4216,"['whipped/sour cream', 'newspapers']"
4217,"['whole milk', 'waffles', 'chocolate']"
4218,"['root vegetables', 'rolls/buns']"
4219,"['sugar', 'candy']"
4220,"['sausage', 'curd']"
4221,"['pork', 'processed cheese']"
4222,"['soda', 'whole milk', 'shopping bags']"
4223,"['tropical fruit', 'fruit/vegetable juice']"
4224,"['pork', 'brown bread']"
4225,"['other vegetables', 'cat food', 'bottled water']"
4226,"['tropical fruit', 'other vegetables']"
4227,"['soda', 'bottled water']"
4228,"['beef', 'liquor (appetizer)', 'frozen vegetables']"
4229,"['pastry', 'whole milk']"
4230,"['instant coffee', 'newspapers', 'hard cheese', 'salty snack']"
4231,"['beef', 'whole milk', 'cream cheese ', 'butter']"
4232,"['bottled beer', 'whole milk']"
4233,"['UHT-milk', 'hard cheese']"
4234,"['canned vegetables', 'napkins']"
4235,"['seasonal products', 'white bread']"
4236,"['bottled water', 'whisky']"
4237,"['soda', 'yogurt', 'brown bread']"
4238,"['pip fruit', 'white wine', 'root vegetables', 'shopping bags']"
4239,"['chocolate', 'rolls/buns']"
4240,"['curd', 'whole milk', 'canned beer']"
4241,"['pip fruit', 'long life bakery product']"
4242,"['other vegetables', 'butter milk']"
4243,"['chewing gum', 'instant coffee']"
4244,"['other vegetables', 'margarine']"
4245,"['margarine', 'soda']"
4246,"['frankfurter', 'citrus fruit', 'yogurt', 'frozen vegetables']"
4247,"['whole milk', 'bottled beer']"
4248,"['onions', 'root vegetables']"
4249,"['sausage', 'other vegetables']"
4250,"['citrus fruit', 'whole milk']"
4251,"['yogurt', 'yogurt']"
4252,"['yogurt', 'potato products']"
4253,"['rolls/buns', 'sugar', 'butter']"
4254,"['yogurt', 'pork', 'UHT-milk', 'specialty bar']"
4255,"['bottled water', 'seasonal products']"
4256,"['pip fruit', 'liver loaf', 'root vegetables', 'rolls/buns', 'mayonnaise', 'curd', 'root vegetables', 'hard cheese', 'chocolate']"
4257,"['tropical fruit', 'frozen vegetables']"
4258,"['waffles', 'Instant food products']"
4259,"['soda', 'onions']"
4260,"['yogurt', 'frozen vegetables']"
4261,"['canned beer', 'tropical fruit', 'pet care']"
4262,"['yogurt', 'curd']"
4263,"['onions', 'other vegetables']"
4264,"['pork', 'specialty bar']"
4265,"['pork', 'sweet spreads']"
4266,"['beef', 'pasta']"
4267,"['whole milk', 'coffee', 'chewing gum']"
4268,"['onions', 'soda']"
4269,"['berries', 'newspapers']"
4270,"['whole milk', 'organic products']"
4271,"['sausage', 'bottled water']"
4272,"['soda', 'chocolate']"
4273,"['brown bread', 'waffles']"
4274,"['canned vegetables', 'brown bread', 'salty snack']"
4275,"['tropical fruit', 'popcorn']"
4276,"['citrus fruit', 'whole milk']"
4277,"['soda', 'canned beer']"
4278,"['newspapers', 'hard cheese']"
4279,"['tropical fruit', 'domestic eggs']"
4280,"['soda', 'cream cheese ']"
4281,"['whole milk', 'bathroom cleaner']"
4282,"['hamburger meat', 'sugar']"
4283,"['other vegetables', 'butter milk', 'long life bakery product']"
4284,"['softener', 'salty snack']"
4285,"['rolls/buns', 'margarine', 'soda']"
4286,"['tropical fruit', 'shopping bags']"
4287,"['berries', 'pip fruit']"
4288,"['beef', 'other vegetables']"
4289,"['napkins', 'pork']"
4290,"['other vegetables', 'other vegetables', 'waffles']"
4291,"['chicken', 'whisky']"
4292,"['whipped/sour cream', 'flour']"
4293,"['butter', 'fruit/vegetable juice']"
4294,"['whole milk', 'bottled water', 'soda']"
4295,"['soda', 'shopping bags']"
4296,"['domestic eggs', 'chewing gum']"
4297,"['soda', 'yogurt']"
4298,"['whole milk', 'onions']"
4299,"['cream cheese ', 'whole milk']"
4300,"['soda', 'chocolate']"
4301,"['hygiene articles', 'pastry', 'bottled beer']"
4302,"['pip fruit', 'soda']"
4303,"['frozen vegetables', 'salad dressing']"
4304,"['candles', 'whole milk']"
4305,"['salty snack', 'condensed milk']"
4306,"['sausage', 'pip fruit', 'bottled water']"
4307,"['rolls/buns', 'domestic eggs']"
4308,"['soda', 'chocolate']"
4309,"['newspapers', 'whole milk']"
4310,"['grapes', 'chocolate marshmallow', 'dishes']"
4311,"['meat', 'beverages', 'newspapers', 'candy']"
4312,"['beef', 'canned beer']"
4313,"['fish', 'meat']"
4314,"['rolls/buns', 'ham', 'whole milk', 'sliced cheese', 'whole milk', 'fruit/vegetable juice', 'pickled vegetables', 'misc. beverages']"
4315,"['pot plants', 'newspapers', 'brown bread']"
4316,"['tropical fruit', 'pot plants', 'shopping bags', 'sugar']"
4317,"['ham', 'white bread']"
4318,"['rolls/buns', 'female sanitary products']"
4319,"['bottled beer', 'dishes']"
4320,"['whole milk', 'white bread']"
4321,"['margarine', 'rolls/buns']"
4322,"['beverages', 'butter milk']"
4323,"['butter', 'specialty chocolate']"
4324,"['shopping bags', 'margarine']"
4325,"['soda', 'shopping bags']"
4326,"['root vegetables', 'margarine']"
4327,"['tropical fruit', 'cat food', 'pot plants', 'curd', 'soft cheese', 'soft cheese']"
4328,"['whipped/sour cream', 'cream cheese ']"
4329,"['whole milk', 'dog food']"
4330,"['whole milk', 'ice cream']"
4331,"['misc. beverages', 'bottled water', 'other vegetables', 'coffee']"
4332,"['UHT-milk', 'cream cheese ']"
4333,"['rolls/buns', 'semi-finished bread', 'fruit/vegetable juice']"
4334,"['whole milk', 'bottled beer']"
4335,"['rolls/buns', 'brown bread', 'whole milk', 'pasta', 'curd', 'butter milk']"
4336,"['tropical fruit', 'spices']"
4337,"['pork', 'sugar']"
4338,"['pip fruit', 'curd cheese']"
4339,"['citrus fruit', 'yogurt']"
4340,"['soda', 'pastry']"
4341,"['chicken', 'coffee']"
4342,"['bottled beer', 'bottled beer']"
4343,"['root vegetables', 'oil']"
4344,"['soda', 'other vegetables']"
4345,"['tropical fruit', 'red/blush wine']"
4346,"['root vegetables', 'other vegetables']"
4347,"['sausage', 'other vegetables', 'waffles']"
4348,"['bottled water', 'brown bread']"
4349,"['sauces', 'rolls/buns', 'soda', 'whipped/sour cream']"
4350,"['canned fish', 'cream cheese ']"
4351,"['whole milk', 'newspapers']"
4352,"['citrus fruit', 'soda']"
4353,"['tropical fruit', 'mayonnaise', 'liquor']"
4354,"['pork', 'specialty chocolate']"
4355,"['fruit/vegetable juice', 'butter']"
4356,"['grapes', 'domestic eggs']"
4357,"['bottled beer', 'rolls/buns', 'waffles']"
4358,"['detergent', 'salty snack']"
4359,"['citrus fruit', 'long life bakery product']"
4360,"['meat', 'rum']"
4361,"['citrus fruit', 'whole milk']"
4362,"['tropical fruit', 'pickled vegetables', 'bottled beer']"
4363,"['bottled beer', 'citrus fruit', 'frozen potato products', 'fruit/vegetable juice', 'sugar', 'sauces']"
4364,"['canned beer', 'ham']"
4365,"['fish', 'root vegetables']"
4366,"['sausage', 'curd']"
4367,"['whole milk', 'hamburger meat', 'soft cheese', 'long life bakery product', 'margarine', 'bottled beer']"
4368,"['frankfurter', 'meat', 'roll products ', 'pip fruit']"
4369,"['beef', 'ice cream']"
4370,"['citrus fruit', 'butter']"
4371,"['rolls/buns', 'rolls/buns']"
4372,"['citrus fruit', 'sugar', 'specialty chocolate']"
4373,"['berries', 'yogurt']"
4374,"['chicken', 'long life bakery product']"
4375,"['other vegetables', 'pastry']"
4376,"['brown bread', 'bottled water', 'domestic eggs']"
4377,"['rolls/buns', 'cereals']"
4378,"['other vegetables', 'frozen vegetables']"
4379,"['turkey', 'whipped/sour cream', 'butter']"
4380,"['other vegetables', 'sliced cheese']"
4381,"['male cosmetics', 'soda']"
4382,"['rolls/buns', 'soft cheese']"
4383,"['pastry', 'frozen fish']"
4384,"['chicken', 'shopping bags']"
4385,"['pastry', 'frankfurter', 'long life bakery product', 'whipped/sour cream']"
4386,"['whole milk', 'brown bread']"
4387,"['frozen meals', 'onions']"
4388,"['pip fruit', 'butter', 'bottled water']"
4389,"['rolls/buns', 'hard cheese']"
4390,"['female sanitary products', 'domestic eggs']"
4391,"['soups', 'coffee']"
4392,"['yogurt', 'salty snack']"
4393,"['sausage', 'beef', 'salty snack']"
4394,"['beef', 'male cosmetics']"
4395,"['chicken', 'root vegetables']"
4396,"['frankfurter', 'female sanitary products']"
4397,"['beef', 'salt']"
4398,"['dessert', 'coffee', 'whole milk', 'cream cheese ']"
4399,"['other vegetables', 'butter']"
4400,"['other vegetables', 'waffles', 'butter']"
4401,"['bottled water', 'soda']"
4402,"['male cosmetics', 'roll products ', 'pastry']"
4403,"['frankfurter', 'UHT-milk']"
4404,"['other vegetables', 'vinegar']"
4405,"['frankfurter', 'domestic eggs', 'frozen dessert']"
4406,"['whipped/sour cream', 'yogurt']"
4407,"['ham', 'beverages', 'margarine']"
4408,"['ham', 'misc. beverages']"
4409,"['pork', 'curd']"
4410,"['onions', 'soda']"
4411,"['shopping bags', 'whole milk']"
4412,"['oil', 'bottled beer', 'yogurt']"
4413,"['frankfurter', 'soda', 'other vegetables', 'rolls/buns', 'rolls/buns']"
4414,"['popcorn', 'pork', 'margarine', 'beef', 'butter']"
4415,"['rolls/buns', 'flour']"
4416,"['other vegetables', 'cream cheese ']"
4417,"['ham', 'chicken', 'canned beer', 'other vegetables', 'napkins']"
4418,"['citrus fruit', 'other vegetables']"
4419,"['other vegetables', 'citrus fruit', 'whole milk', 'frankfurter', 'zwieback', 'other vegetables', 'domestic eggs', 'brown bread', 'sugar']"
4420,"['soda', 'whipped/sour cream']"
4421,"['sausage', 'canned beer']"
4422,"['tropical fruit', 'soda', 'whipped/sour cream']"
4423,"['sausage', 'soda']"
4424,"['bottled water', 'whole milk']"
4425,"['whole milk', 'sugar']"
4426,"['beverages', 'newspapers']"
4427,"['specialty bar', 'domestic eggs']"
4428,"['whole milk', 'dessert']"
4429,"['fruit/vegetable juice', 'salty snack']"
4430,"['hamburger meat', 'pip fruit', 'rolls/buns', 'dishes']"
4431,"['rolls/buns', 'bottled beer']"
4432,"['citrus fruit', 'bottled water', 'napkins']"
4433,"['tropical fruit', 'rolls/buns', 'root vegetables']"
4434,"['specialty cheese', 'misc. beverages']"
4435,"['beef', 'root vegetables']"
4436,"['dessert', 'red/blush wine']"
4437,"['pip fruit', 'whole milk', 'butter milk', 'yogurt']"
4438,"['frankfurter', 'soda']"
4439,"['margarine', 'rolls/buns', 'seasonal products']"
4440,"['hamburger meat', 'soda']"
4441,"['whole milk', 'bottled beer']"
4442,"['pastry', 'liquor (appetizer)', 'sliced cheese']"
4443,"['root vegetables', 'cream cheese ']"
4444,"['onions', 'waffles']"
4445,"['pip fruit', 'cling film/bags']"
4446,"['beef', 'dessert']"
4447,"['beef', 'bottled beer', 'specialty chocolate', 'yogurt', 'whole milk']"
4448,"['specialty bar', 'pastry']"
4449,"['root vegetables', 'chocolate', 'candy']"
4450,"['citrus fruit', 'whole milk']"
4451,"['canned beer', 'red/blush wine', 'salty snack']"
4452,"['beef', 'whole milk', 'frozen vegetables', 'soda']"
4453,"['soda', 'UHT-milk', 'dessert', 'napkins']"
4454,"['shopping bags', 'hygiene articles']"
4455,"['other vegetables', 'pip fruit']"
4456,"['canned beer', 'sliced cheese']"
4457,"['tropical fruit', 'canned fish']"
4458,"['other vegetables', 'shopping bags']"
4459,"['misc. beverages', 'margarine']"
4460,"['meat', 'house keeping products']"
4461,"['whole milk', 'curd', 'yogurt', 'candy']"
4462,"['soda', 'tropical fruit', 'other vegetables', 'bottled water']"
4463,"['whole milk', 'flour']"
4464,"['beef', 'sliced cheese']"
4465,"['long life bakery product', 'onions']"
4466,"['chicken', 'cream']"
4467,"['citrus fruit', 'rolls/buns']"
4468,"['coffee', 'rolls/buns']"
4469,"['chicken', 'citrus fruit', 'sugar']"
4470,"['soft cheese', 'pork', 'white bread', 'fruit/vegetable juice']"
4471,"['berries', 'grapes', 'onions']"
4472,"['specialty chocolate', 'butter milk']"
4473,"['other vegetables', 'citrus fruit']"
4474,"['domestic eggs', 'sausage', 'bottled water', 'curd', 'frozen meals', 'hygiene articles', 'chocolate', 'rolls/buns']"
4475,"['whole milk', 'ice cream']"
4476,"['coffee', 'sauces']"
4477,"['turkey', 'newspapers', 'white wine']"
4478,"['frankfurter', 'root vegetables']"
4479,"['pork', 'curd']"
4480,"['tropical fruit', 'rolls/buns']"
4481,"['frozen meals', 'tidbits']"
4482,"['prosecco', 'onions']"
4483,"['other vegetables', 'bottled beer']"
4484,"['long life bakery product', 'brown bread', 'popcorn']"
4485,"['chicken', 'sliced cheese']"
4486,"['pork', 'detergent', 'bottled beer']"
4487,"['soda', 'liquor (appetizer)']"
4488,"['citrus fruit', 'whole milk', 'rolls/buns', 'pastry', 'whipped/sour cream']"
4489,"['hamburger meat', 'tropical fruit', 'soda']"
4490,"['ham', 'rolls/buns']"
4491,"['citrus fruit', 'herbs', 'pudding powder']"
4492,"['frozen vegetables', 'canned beer']"
4493,"['onions', 'coffee']"
4494,"['dog food', 'pastry']"
4495,"['frankfurter', 'cream cheese ']"
4496,"['rolls/buns', 'pip fruit']"
4497,"['pork', 'root vegetables', 'hamburger meat', 'frankfurter', 'coffee', 'curd', 'cake bar', 'soda']"
4498,"['bottled beer', 'other vegetables', 'butter']"
4499,"['root vegetables', 'whole milk']"
4500,"['bottled beer', 'rolls/buns', 'other vegetables']"
4501,"['cat food', 'tropical fruit', 'onions', 'tidbits']"
4502,"['napkins', 'photo/film']"
4503,"['sausage', 'rolls/buns']"
4504,"['pork', 'hamburger meat', 'whole milk', 'whole milk', 'fruit/vegetable juice']"
4505,"['frankfurter', 'specialty bar', 'whole milk', 'rice', 'dishes']"
4506,"['pork', 'whole milk', 'domestic eggs', 'sweet spreads']"
4507,"['curd', 'beef', 'napkins']"
4508,"['butter', 'pastry']"
4509,"['whole milk', 'canned beer', 'processed cheese']"
4510,"['other vegetables', 'newspapers']"
4511,"['canned beer', 'canned beer', 'dessert', 'packaged fruit/vegetables', 'flour', 'meat spreads']"
4512,"['butter', 'soda']"
4513,"['citrus fruit', 'pastry', 'salt']"
4514,"['curd', 'other vegetables']"
4515,"['hamburger meat', 'dessert', 'newspapers']"
4516,"['bottled water', 'butter milk']"
4517,"['yogurt', 'white bread']"
4518,"['soda', 'red/blush wine', 'root vegetables', 'butter milk']"
4519,"['curd', 'napkins']"
4520,"['rolls/buns', 'flower (seeds)']"
4521,"['hamburger meat', 'newspapers']"
4522,"['whole milk', 'white bread']"
4523,"['bottled beer', 'whole milk']"
4524,"['salty snack', 'frozen vegetables']"
4525,"['citrus fruit', 'cream cheese ']"
4526,"['tropical fruit', 'other vegetables']"
4527,"['soda', 'tropical fruit', 'domestic eggs', 'domestic eggs']"
4528,"['candy', 'long life bakery product']"
4529,"['whipped/sour cream', 'curd']"
4530,"['herbs', 'whole milk', 'frozen dessert']"
4531,"['brown bread', 'canned beer']"
4532,"['candy', 'pot plants']"
4533,"['sausage', 'root vegetables']"
4534,"['pip fruit', 'soda']"
4535,"['whole milk', 'brown bread']"
4536,"['margarine', 'whipped/sour cream']"
4537,"['other vegetables', 'beverages']"
4538,"['root vegetables', 'root vegetables']"
4539,"['sausage', 'soda', 'bottled beer', 'yogurt']"
4540,"['tropical fruit', 'pastry']"
4541,"['other vegetables', 'shopping bags']"
4542,"['soda', 'pork']"
4543,"['beef', 'yogurt']"
4544,"['pork', 'rolls/buns']"
4545,"['yogurt', 'dental care']"
4546,"['grapes', 'chewing gum', 'curd cheese']"
4547,"['berries', 'other vegetables', 'butter', 'newspapers']"
4548,"['cling film/bags', 'canned vegetables']"
4549,"['whole milk', 'sausage', 'pork', 'coffee']"
4550,"['sugar', 'seasonal products']"
4551,"['berries', 'whole milk']"
4552,"['bottled water', 'hard cheese']"
4553,"['pork', 'rolls/buns', 'brown bread', 'yogurt']"
4554,"['rolls/buns', 'waffles']"
4555,"['sausage', 'bottled water']"
4556,"['hamburger meat', 'yogurt']"
4557,"['sliced cheese', 'whole milk']"
4558,"['berries', 'whole milk']"
4559,"['other vegetables', 'sliced cheese', 'canned vegetables']"
4560,"['curd', 'pork']"
4561,"['other vegetables', 'herbs']"
4562,"['semi-finished bread', 'whole milk', 'mustard']"
4563,"['yogurt', 'hygiene articles']"
4564,"['sugar', 'shopping bags']"
4565,"['pip fruit', 'rolls/buns']"
4566,"['whipped/sour cream', 'whipped/sour cream']"
4567,"['cream cheese ', 'rolls/buns']"
4568,"['sausage', 'misc. beverages']"
4569,"['fruit/vegetable juice', 'pastry']"
4570,"['other vegetables', 'soda', 'root vegetables', 'flower soil/fertilizer', 'meat', 'shopping bags', 'soda', 'processed cheese']"
4571,"['chocolate', 'root vegetables']"
4572,"['pet care', 'long life bakery product']"
4573,"['meat', 'bottled water', 'soda']"
4574,"['processed cheese', 'instant coffee']"
4575,"['sausage', 'soda', 'cooking chocolate', 'roll products ']"
4576,"['sausage', 'tropical fruit', 'sausage', 'frankfurter', 'cream cheese ', 'other vegetables', 'hard cheese', 'chocolate', 'flour']"
4577,"['bottled water', 'whipped/sour cream']"
4578,"['citrus fruit', 'cake bar']"
4579,"['berries', 'margarine']"
4580,"['frankfurter', 'soda', 'napkins']"
4581,"['pastry', 'seasonal products', 'butter', 'bottled beer']"
4582,"['tropical fruit', 'berries']"
4583,"['beef', 'flour']"
4584,"['bottled water', 'whole milk']"
4585,"['bottled beer', 'whole milk', 'citrus fruit', 'other vegetables', 'soft cheese']"
4586,"['root vegetables', 'specialty chocolate', 'whisky']"
4587,"['domestic eggs', 'dessert']"
4588,"['whole milk', 'bottled beer']"
4589,"['tropical fruit', 'other vegetables', 'domestic eggs']"
4590,"['yogurt', 'chocolate']"
4591,"['frozen fish', 'pastry']"
4592,"['newspapers', 'pastry']"
4593,"['citrus fruit', 'beverages']"
4594,"['pork', 'whole milk', 'waffles', 'whole milk', 'sugar']"
4595,"['frankfurter', 'liquor (appetizer)', 'red/blush wine']"
4596,"['sausage', 'root vegetables']"
4597,"['canned beer', 'sausage', 'pork', 'whipped/sour cream', 'margarine', 'pickled vegetables', 'pastry']"
4598,"['dish cleaner', 'grapes', 'ketchup']"
4599,"['pip fruit', 'root vegetables']"
4600,"['frozen vegetables', 'canned beer']"
4601,"['citrus fruit', 'processed cheese']"
4602,"['meat', 'whole milk']"
4603,"['soda', 'ham']"
4604,"['fruit/vegetable juice', 'meat', 'whole milk', 'root vegetables', 'frozen meals']"
4605,"['bottled beer', 'soda', 'candy']"
4606,"['shopping bags', 'shopping bags']"
4607,"['citrus fruit', 'rolls/buns', 'brandy', 'candy']"
4608,"['bottled water', 'Instant food products']"
4609,"['chicken', 'margarine']"
4610,"['coffee', 'margarine']"
4611,"['flower (seeds)', 'sliced cheese', 'soups']"
4612,"['curd', 'whole milk', 'pastry']"
4613,"['sausage', 'butter', 'yogurt', 'yogurt']"
4614,"['curd', 'misc. beverages']"
4615,"['cream cheese ', 'sausage', 'whole milk', 'pip fruit']"
4616,"['curd', 'yogurt']"
